time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-12-15 09:30:00-05:00,Prometheus,e57ed37891324b2cb6e72cdff9f58c36,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-15 09:30:00-05:00,Prometheus,e57ed37891324b2cb6e72cdff9f58c36,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.29998779296875,127.0,0.0
2023-06-02 08:30:00-04:00,Prometheus,72907827f0384af5ae10efe377277c7c,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-02 08:30:00-04:00,Prometheus,e063351e0063427a8c20259834c824f2,SPY,sell,limit,fill,1,day,0.0,1,stock,424.5,127.0,0.0
