time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-10-17 09:30:00-04:00,MLTrader,6d35c7c80af041c99d3dd94939dbe77f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-10-17 09:30:00-04:00,MLTrader,6d35c7c80af041c99d3dd94939dbe77f,SPY,buy,market,fill,1,gtc,0.0,1,stock,364.010009765625,100.0,0.0
