time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-06-12 09:30:00-04:00,Prometheus,b38054c7ef484fae919e48d520ced0bf,SPY,buy,stop,fill,1,day,0.0,1,stock,541.6300048828125,21.0,0.0
2024-06-14 09:30:00-04:00,Prometheus,1862b75d5e094dcfa47319f5386c9e3d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,Prometheus,1862b75d5e094dcfa47319f5386c9e3d,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,82.0,0.0
2024-06-24 09:30:00-04:00,Prometheus,7d853367ce734551af6a5c8dca8b8899,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,Prometheus,c096383257364c87a4e6f7c6afee73ea,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,Prometheus,3d50ca4c2031444f80529deda66b9578,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,Prometheus,7979b3077cb44cb38e34562015d3633a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,Prometheus,3d50ca4c2031444f80529deda66b9578,SPY,sell,market,fill,1,day,0.0,1,stock,544.3300170898438,82.0,0.0
2024-06-24 09:30:00-04:00,Prometheus,7979b3077cb44cb38e34562015d3633a,SPY,sell,market,fill,1,gtc,0.0,1,stock,544.3300170898438,41.0,0.0
2024-06-27 09:30:00-04:00,Prometheus,35775d79348e4368a3e617c424b3c5e3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,Prometheus,35775d79348e4368a3e617c424b3c5e3,SPY,sell,market,fill,1,gtc,0.0,1,stock,545.3699951171875,102.0,0.0
2024-09-19 09:30:00-04:00,Prometheus,39dea36c1a5f48ff9683d8edb08c843b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-09-19 09:30:00-04:00,Prometheus,6e0dec414500465c99fd8aa7332605be,SPY,buy,stop,fill,1,day,0.0,1,stock,571.546517944336,41.0,0.0
2024-09-19 09:30:00-04:00,Prometheus,ef770e736c564b42af113292533410f6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-09-19 09:30:00-04:00,Prometheus,5fcc2a17080f45ae9c01ad3a22228103,SPY,buy,stop,fill,1,day,0.0,1,stock,572.6384948730469,102.0,0.0
2024-10-22 09:30:00-04:00,Prometheus,f1a24ab3396244f2b83b8c41ce20d6ac,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-22 09:30:00-04:00,Prometheus,f1a24ab3396244f2b83b8c41ce20d6ac,SPY,sell,market,fill,1,gtc,0.0,1,stock,581.0499877929688,73.0,0.0
2024-11-04 09:30:00-05:00,Prometheus,a78c5614bb5b4018acd9524b94955b42,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-11-04 09:30:00-05:00,Prometheus,a78c5614bb5b4018acd9524b94955b42,SPY,sell,market,fill,1,gtc,0.0,1,stock,571.1799926757812,111.0,0.0
2024-11-11 08:30:00-05:00,Prometheus,30777939b17245638ccf2ec356c3d605,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-11-11 08:30:00-05:00,Prometheus,3510a8d51fb546a7b6bfe63c5493df95,SPY,buy,stop,fill,1,day,0.0,1,stock,599.8099975585938,111.0,0.0
